"State(0, 0)",0,1,1.99,2.97,3.94,4.901,5.852,6.793,7.726,8.648,9.562,10.466,11.362,12.248,13.125,13.994,14.854,15.706,16.549,17.383,18.209,19.027,19.837,20.639,21.432,22.218,22.996,23.766,24.528,25.283,26.03,26.77,27.502,28.227,28.945,29.655,30.359,31.055,31.745,32.427,33.103,33.772,34.434,35.09,35.739,36.381,37.018,37.647,38.271,38.888,39.499,40.104,40.703,41.296,41.883,42.465,43.04,43.609,44.173,44.732,45.284,45.831,46.373,46.909,47.44,47.966,48.486,49.001,49.511,50.016,50.516,51.011,51.501,51.986,52.466,52.941,53.412,53.878,54.339,54.796,55.248,55.695,56.138,56.577,57.011,57.441,57.867,58.288,58.705,59.118,59.527,59.932,60.332,60.729,61.122,61.51,61.895,62.276,62.654,63.027,63.397,63.763,64.125,64.484,64.839,65.191,65.539,65.883,66.225,66.562,66.897,67.228,67.555,67.88,68.201,68.519,68.834,69.146,69.454,69.76
"State(0, 1)",0,-0.04,0.649,1.497,2.409,3.333,4.265,5.197,6.125,7.045,7.957,8.86,9.755,10.642,11.519,12.388,13.248,14.099,14.942,15.777,16.603,17.421,18.23,19.032,19.826,20.611,21.389,22.159,22.921,23.676,24.423,25.163,25.895,26.62,27.338,28.049,28.752,29.448,30.138,30.82,31.496,32.165,32.827,33.483,34.132,34.775,35.411,36.041,36.664,37.282,37.893,38.498,39.097,39.69,40.277,40.858,41.433,42.003,42.567,43.125,43.678,44.225,44.767,45.303,45.834,46.359,46.88,47.395,47.905,48.41,48.909,49.404,49.894,50.379,50.859,51.335,51.805,52.271,52.732,53.189,53.641,54.089,54.532,54.97,55.404,55.834,56.26,56.681,57.098,57.511,57.92,58.325,58.726,59.122,59.515,59.904,60.289,60.67,61.047,61.42,61.79,62.156,62.519,62.877,63.232,63.584,63.932,64.277,64.618,64.956,65.29,65.621,65.949,66.273,66.594,66.912,67.227,67.539,67.847,68.153
"State(0, 2)",0,-0.04,-0.08,0.449,1.169,2.008,2.886,3.788,4.699,5.611,6.518,7.419,8.313,9.198,10.075,10.943,11.803,12.654,13.497,14.332,15.158,15.976,16.785,17.587,18.381,19.166,19.944,20.714,21.477,22.231,22.978,23.718,24.45,25.175,25.893,26.604,27.307,28.004,28.693,29.376,30.051,30.72,31.383,32.038,32.687,33.33,33.966,34.596,35.219,35.837,36.448,37.053,37.652,38.245,38.832,39.413,39.988,40.558,41.122,41.68,42.233,42.78,43.322,43.858,44.389,44.914,45.435,45.95,46.46,46.965,47.465,47.959,48.449,48.934,49.414,49.89,50.36,50.826,51.288,51.744,52.196,52.644,53.087,53.525,53.96,54.389,54.815,55.236,55.654,56.066,56.475,56.88,57.281,57.677,58.07,58.459,58.844,59.225,59.602,59.976,60.345,60.711,61.074,61.432,61.788,62.139,62.487,62.832,63.173,63.511,63.845,64.176,64.504,64.828,65.15,65.468,65.782,66.094,66.403,66.708
"State(0, 3)",0,-0.04,-0.08,-0.11,0.291,0.898,1.659,2.487,3.359,4.248,5.143,6.037,6.926,7.809,8.684,9.55,10.409,11.26,12.103,12.937,13.763,14.581,15.391,16.192,16.986,17.772,18.55,19.32,20.082,20.837,21.584,22.324,23.056,23.781,24.499,25.209,25.913,26.609,27.298,27.981,28.657,29.326,29.988,30.644,31.293,31.935,32.571,33.201,33.825,34.442,35.053,35.658,36.257,36.85,37.437,38.018,38.594,39.163,39.727,40.285,40.838,41.385,41.927,42.463,42.994,43.52,44.04,44.555,45.065,45.57,46.07,46.565,47.055,47.54,48.02,48.495,48.966,49.432,49.893,50.349,50.802,51.249,51.692,52.131,52.565,52.995,53.42,53.842,54.259,54.672,55.081,55.485,55.886,56.283,56.675,57.064,57.449,57.83,58.207,58.581,58.951,59.317,59.679,60.038,60.393,60.745,61.093,61.437,61.778,62.116,62.451,62.782,63.109,63.434,63.755,64.073,64.388,64.699,65.008,65.313
"State(0, 4)",0,-0.04,-0.08,-0.11,-0.15,0.159,0.703,1.413,2.209,3.058,3.93,4.811,5.694,6.573,7.446,8.312,9.17,10.02,10.862,11.696,12.522,13.34,14.15,14.951,15.745,16.53,17.308,18.078,18.841,19.595,20.342,21.082,21.814,22.539,23.257,23.968,24.671,25.368,26.057,26.74,27.415,28.084,28.747,29.402,30.051,30.694,31.33,31.96,32.584,33.201,33.812,34.417,35.016,35.609,36.196,36.777,37.352,37.922,38.486,39.044,39.597,40.144,40.686,41.222,41.753,42.278,42.799,43.314,43.824,44.329,44.829,45.323,45.813,46.298,46.779,47.254,47.724,48.19,48.652,49.108,49.56,50.008,50.451,50.889,51.324,51.754,52.179,52.6,53.018,53.431,53.839,54.244,54.645,55.041,55.434,55.823,56.208,56.589,56.966,57.34,57.709,58.075,58.438,58.796,59.152,59.503,59.851,60.196,60.537,60.875,61.209,61.54,61.868,62.192,62.514,62.832,63.146,63.458,63.767,64.072
"State(0, 5)",0,-0.04,-0.08,-0.11,-0.15,-0.19,0.047,0.498,1.124,1.855,2.656,3.495,4.352,5.217,6.082,6.944,7.799,8.648,9.489,10.322,11.148,11.965,12.775,13.576,14.37,15.155,15.933,16.703,17.466,18.22,18.967,19.707,20.439,21.164,21.882,22.593,23.296,23.993,24.682,25.365,26.04,26.709,27.372,28.027,28.676,29.319,29.955,30.585,31.208,31.826,32.437,33.042,33.641,34.234,34.821,35.402,35.977,36.547,37.111,37.669,38.222,38.769,39.311,39.847,40.378,40.903,41.424,41.939,42.449,42.954,43.454,43.948,44.438,44.923,45.403,45.879,46.349,46.815,47.276,47.733,48.185,48.633,49.076,49.514,49.949,50.378,50.804,51.225,51.643,52.055,52.464,52.869,53.27,53.666,54.059,54.448,54.833,55.214,55.591,55.965,56.334,56.7,57.063,57.421,57.777,58.128,58.476,58.821,59.162,59.5,59.834,60.165,60.493,60.817,61.139,61.457,61.771,62.083,62.392,62.697
Wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"State(1, 1)",0,-1,-1.04,-0.52,0.137,0.946,1.821,2.723,3.634,4.545,5.453,6.354,7.247,8.133,9.009,9.878,10.738,11.589,12.432,13.266,14.092,14.91,15.72,16.522,17.315,18.101,18.879,19.649,20.411,21.166,21.913,22.653,23.385,24.11,24.828,25.538,26.242,26.938,27.628,28.31,28.986,29.655,30.317,30.973,31.622,32.264,32.901,33.53,34.154,34.771,35.382,35.987,36.586,37.179,37.766,38.348,38.923,39.492,40.056,40.615,41.167,41.715,42.256,42.792,43.323,43.849,44.369,44.884,45.394,45.899,46.399,46.894,47.384,47.869,48.349,48.824,49.295,49.761,50.222,50.679,51.131,51.578,52.021,52.46,52.894,53.324,53.75,54.171,54.588,55.001,55.41,55.815,56.215,56.612,57.005,57.393,57.778,58.159,58.537,58.91,59.28,59.646,60.008,60.367,60.722,61.074,61.422,61.766,62.108,62.445,62.78,63.111,63.438,63.763,64.084,64.402,64.717,65.029,65.337,65.643
"State(1, 2)",0,-0.04,-0.17,-0.21,0.251,0.883,1.664,2.503,3.382,4.275,5.172,6.067,6.957,7.84,8.716,9.583,10.442,11.293,12.135,12.97,13.796,14.614,15.423,16.225,17.019,17.804,18.582,19.352,20.114,20.869,21.616,22.356,23.088,23.813,24.531,25.242,25.945,26.642,27.331,28.014,28.689,29.358,30.021,30.676,31.325,31.968,32.604,33.234,33.857,34.475,35.086,35.691,36.29,36.883,37.47,38.051,38.626,39.196,39.76,40.318,40.871,41.418,41.96,42.496,43.027,43.552,44.073,44.588,45.098,45.603,46.103,46.597,47.087,47.572,48.052,48.528,48.998,49.464,49.925,50.382,50.834,51.282,51.725,52.163,52.598,53.027,53.453,53.874,54.291,54.704,55.113,55.518,55.919,56.315,56.708,57.097,57.482,57.863,58.24,58.613,58.983,59.349,59.712,60.07,60.426,60.777,61.125,61.47,61.811,62.149,62.483,62.814,63.142,63.466,63.788,64.106,64.42,64.732,65.041,65.346
"State(1, 3) ",0,-0.04,-0.08,-0.12,-0.16,0.199,0.778,1.537,2.358,3.22,4.095,4.974,5.851,6.724,7.59,8.452,9.309,10.16,11.002,11.836,12.662,13.48,14.289,15.091,15.885,16.67,17.448,18.218,18.981,19.735,20.482,21.222,21.954,22.679,23.397,24.108,24.811,25.508,26.197,26.88,27.555,28.224,28.887,29.542,30.191,30.834,31.47,32.1,32.723,33.341,33.952,34.557,35.156,35.749,36.336,36.917,37.492,38.062,38.626,39.184,39.737,40.284,40.826,41.362,41.893,42.418,42.939,43.454,43.964,44.469,44.969,45.463,45.953,46.438,46.918,47.394,47.864,48.33,48.792,49.248,49.7,50.148,50.591,51.029,51.464,51.893,52.319,52.74,53.158,53.57,53.979,54.384,54.785,55.181,55.574,55.963,56.348,56.729,57.106,57.48,57.849,58.215,58.578,58.936,59.292,59.643,59.991,60.336,60.677,61.015,61.349,61.68,62.008,62.332,62.654,62.972,63.286,63.598,63.907,64.212
Wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"State(1, 5) ",0,-0.04,-0.08,-0.11,-0.15,-0.19,-0.23,-0.04,0.345,0.918,1.611,2.383,3.2,4.041,4.892,5.746,6.597,7.443,8.283,9.115,9.94,10.757,11.566,12.368,13.161,13.947,14.725,15.495,16.257,17.012,17.759,18.498,19.231,19.956,20.673,21.384,22.087,22.784,23.473,24.156,24.832,25.501,26.163,26.819,27.468,28.11,28.746,29.376,30,30.617,31.228,31.833,32.432,33.025,33.612,34.193,34.769,35.338,35.902,36.46,37.013,37.56,38.102,38.638,39.169,39.695,40.215,40.73,41.24,41.745,42.245,42.74,43.23,43.715,44.195,44.67,45.141,45.607,46.068,46.524,46.976,47.424,47.867,48.306,48.74,49.17,49.595,50.017,50.434,50.847,51.256,51.66,52.061,52.458,52.85,53.239,53.624,54.005,54.382,54.756,55.126,55.492,55.854,56.213,56.568,56.919,57.268,57.612,57.953,58.291,58.625,58.957,59.284,59.609,59.93,60.248,60.563,60.874,61.183,61.488
"State(2, 0)",0,1,1.887,2.765,3.634,4.492,5.342,6.182,7.013,7.835,8.648,9.452,10.248,11.036,11.815,12.586,13.35,14.105,14.852,15.592,16.324,17.049,17.766,18.476,19.179,19.874,20.563,21.244,21.919,22.587,23.248,23.903,24.551,25.193,25.828,26.458,27.082,27.7,28.313,28.921,29.523,30.119,30.711,31.297,31.878,32.454,33.024,33.59,34.15,34.705,35.256,35.801,36.342,36.877,37.412,37.946,38.478,39.009,39.539,40.065,40.59,41.112,41.63,42.146,42.658,43.167,43.672,44.173,44.671,45.165,45.654,46.14,46.622,47.099,47.573,48.042,48.507,48.968,49.425,49.878,50.326,50.77,51.211,51.647,52.078,52.506,52.93,53.349,53.765,54.177,54.584,54.988,55.387,55.783,56.175,56.563,56.947,57.328,57.704,58.077,58.446,58.812,59.174,59.532,59.887,60.239,60.587,60.931,61.272,61.609,61.944,62.275,62.602,62.926,63.248,63.565,63.88,64.192,64.5,64.806
"State(2, 1)",0,-0.04,0.752,1.528,2.353,3.183,4.02,4.856,5.687,6.512,7.329,8.139,8.941,9.734,10.52,11.298,12.069,12.831,13.586,14.334,15.074,15.806,16.531,17.249,17.96,18.664,19.36,20.051,20.734,21.411,22.081,22.744,23.401,24.051,24.695,25.332,25.963,26.589,27.208,27.823,28.432,29.035,29.633,30.225,30.812,31.394,31.971,32.542,33.108,33.669,34.225,34.776,35.321,35.901,36.482,37.058,37.629,38.194,38.754,39.309,39.858,40.403,40.942,41.476,42.004,42.528,43.047,43.56,44.069,44.573,45.071,45.565,46.054,46.538,47.018,47.492,47.962,48.428,48.889,49.345,49.796,50.244,50.686,51.125,51.559,51.988,52.414,52.835,53.252,53.664,54.073,54.478,54.878,55.275,55.667,56.056,56.441,56.822,57.199,57.573,57.942,58.308,58.671,59.029,59.384,59.736,60.084,60.429,60.77,61.107,61.442,61.773,62.101,62.425,62.746,63.064,63.379,63.691,63.999,64.305
"State(2, 2)",0,-1,-1.04,-0.34,0.332,1.108,1.903,2.719,3.541,4.362,5.179,5.991,6.796,7.593,8.384,9.167,9.942,10.71,11.471,12.224,12.97,13.709,14.44,15.164,15.881,16.591,17.294,17.99,18.68,19.364,20.04,20.71,21.374,22.031,22.681,23.325,23.962,24.593,25.219,25.839,26.483,27.145,27.801,28.45,29.093,29.729,30.359,30.983,31.601,32.212,32.818,33.417,34.011,34.598,35.184,35.764,36.339,36.908,37.472,38.03,38.582,39.129,39.67,40.206,40.737,41.262,41.782,42.297,42.807,43.312,43.812,44.306,44.796,45.281,45.761,46.236,46.707,47.173,47.634,48.091,48.543,48.99,49.433,49.872,50.306,50.736,51.161,51.583,52,52.413,52.821,53.226,53.627,54.023,54.416,54.805,55.19,55.571,55.948,56.322,56.691,57.057,57.42,57.778,58.134,58.485,58.833,59.178,59.519,59.857,60.191,60.522,60.85,61.174,61.496,61.814,62.128,62.44,62.749,63.054
"State(2, 3)",0,-0.04,-0.17,-0.22,-0.19,0.233,0.956,1.716,2.512,3.317,4.125,4.933,5.737,6.536,7.329,8.114,8.893,9.665,10.429,11.187,11.937,12.68,13.416,14.145,14.867,15.585,16.348,17.11,17.864,18.61,19.35,20.082,20.806,21.524,22.234,22.937,23.633,24.322,25.005,25.68,26.349,27.014,27.675,28.33,28.979,29.621,30.256,30.885,31.508,32.125,32.735,33.34,33.938,34.53,35.117,35.698,36.273,36.843,37.406,37.965,38.517,39.064,39.606,40.142,40.673,41.199,41.719,42.234,42.744,43.249,43.749,44.244,44.734,45.219,45.699,46.174,46.645,47.11,47.572,48.028,48.48,48.928,49.371,49.809,50.244,50.674,51.099,51.52,51.938,52.351,52.759,53.164,53.565,53.961,54.354,54.743,55.128,55.509,55.886,56.26,56.629,56.995,57.358,57.716,58.072,58.423,58.771,59.116,59.457,59.795,60.129,60.46,60.788,61.112,61.434,61.752,62.066,62.378,62.687,62.992
Wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"State(2, 5)",0,-0.04,-0.08,-0.11,-0.15,-0.19,0.034,0.486,1.079,1.737,2.425,3.122,3.819,4.513,5.201,5.882,6.558,7.228,7.893,8.552,9.207,9.857,10.503,11.2,11.973,12.754,13.531,14.301,15.063,15.818,16.565,17.305,18.037,18.762,19.48,20.19,20.894,21.59,22.28,22.962,23.638,24.307,24.969,25.625,26.274,26.917,27.553,28.183,28.806,29.423,30.035,30.64,31.239,31.831,32.419,33,33.575,34.145,34.709,35.267,35.819,36.367,36.908,37.445,37.976,38.501,39.021,39.537,40.047,40.551,41.051,41.546,42.036,42.521,43.001,43.476,43.947,44.413,44.874,45.331,45.783,46.23,46.673,47.112,47.546,47.976,48.402,48.823,49.24,49.653,50.062,50.467,50.867,51.264,51.657,52.046,52.43,52.811,53.189,53.562,53.932,54.298,54.66,55.019,55.374,55.726,56.074,56.419,56.76,57.097,57.432,57.763,58.091,58.415,58.736,59.054,59.369,59.681,59.989,60.295
